# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
0 622.872 -551.705 316.616
1 595.476 -553.382 352.75
2 572.641 -556.274 377.77
3 554.199 -560.677 391.383
4 540.422 -567.476 393.887
5 529.834 -577.713 387.006
6 520.499 -592.087 372.439
7 509.722 -610.844 352.515
8 495.659 -633.94 329.591
9 477.394 -660.392 305.827
10 455.148 -688.561 282.736
11 431.027 -716.552 261.715
12 407.635 -742.262 243.935
13 387.657 -763.203 230.395
14 372.686 -777.695 221.866
15 362.318 -784.601 218.407
16 355.049 -783.182 219.079
17 348.346 -773.145 221.488
18 339.891 -754.464 223.204
19 327.933 -727.406 221.611
20 311.336 -692.475 214.545
21 290.302 -650.253 201.966
22 265.62 -601.945 184.793
23 238.643 -549.082 165.156
24 210.989 -494.164 146.016
25 184.1 -439.756 130.55
26 158.891 -389.199 120.787
27 136.153 -345.392 118.105
28 115.948 -310.697 122.207
29 98.2619 -286.147 131.82
30 82.7272 -270.295 144.803
31 68.3334 -259.879 158.731
32 53.2569 -250.346 171.458
33 35.3968 -235.724 181.757
34 12.442 -211.324 189.575
35 -17.0118 -174.724 196.234
36 -53.0595 -126.184 204.709
37 -93.6633 -69.1252 218.238
38 -135.824 -9.25428 240.03
39 -176.534 46.847 272.564
40 -212.996 92.9801 315.647
41 -244.224 124.068 368.077
42 -270.01 136.611 426.797
43 -291.951 128.598 487.487
44 -311.411 99.6077 545.779
45 -330.268 50.0043 597.828
46 -350.389 -17.5492 640.139
47 -373.749 -99.0116 670.437
48 -402.393 -188.435 687.937
49 -437.431 -278.5 692.735
50 -478.764 -361.826 686.275
51 -525.27 -431.856 671.202
52 -574.07 -484.122 650.626
53 -621.471 -516.25 627.683
54 -662.912 -529.156 604.702
55 -693.884 -525.793 582.683
56 -709.925 -510.796 561.738
57 -707.458 -489.443 541.079
58 -684.403 -466.719 519.269
59 -640.728 -447.199 495.166
60 -578.797 -434.219 467.433
61 -502.632 -429.858 435.237
62 -416.811 -434.879 397.624
63 -326.827 -448.431 354.562
64 -236.919 -468.412 306.52
65 -150.102 -491.828 254.898
66 -67.9556 -515.153 201.822
67 9.22067 -534.996 150.207
68 81.6334 -548.783 103.374
69 149.6 -554.52 64.579
70 212.882 -551.149 35.5779
71 270.996 -538.464 16.4891
72 322.894 -516.933 5.57187
73 367.373 -488.231 -0.0569893
74 403.271 -455.104 -3.53463
75 429.672 -420.664 -6.20058
76 446.67 -388.164 -8.83779
77 454.709 -360.153 -10.628
78 455.033 -338.608 -10.874
79 448.701 -324.587 -8.61067
80 438.009 -318.594 -3.68103
81 424.946 -321.219 3.56056
82 412.05 -332.021 12.5336
83 401.471 -350.213 22.4569
84 394.943 -374.245 32.6705
85 393.716 -401.252 43.0093
86 398.291 -427.312 53.5009
87 408.291 -447.92 64.4252
88 422.59 -458.939 76.2244
89 438.926 -456.564 90.253
90 454.602 -438.793 107.422
