# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
0 -358.994 -37.1661 302.737
1 -353.884 -47.1913 387.095
2 -350.277 -57.4704 471.794
3 -347.283 -69.6414 551.973
4 -344.172 -84.6573 621.884
5 -339.652 -101.94 676.741
6 -332.399 -120.568 712.593
7 -321.12 -139.5 727.356
8 -304.677 -157.648 720.774
9 -282.359 -174.105 694.021
10 -254.319 -188.46 650.264
11 -221.27 -200.901 593.806
12 -184.892 -212.226 529.68
13 -147.2 -223.848 463.176
14 -110.053 -236.972 399.116
15 -74.8063 -253.167 342.542
16 -42.7191 -273.302 296.389
17 -14.3929 -297.417 262.609
18 9.46576 -324.835 241.489
19 28.8454 -353.795 231.589
20 43.2678 -381.797 230.645
21 52.9432 -406.253 235.105
22 58.3278 -424.692 241.858
23 60.3981 -434.629 247.448
24 60.9704 -434.528 248.426
25 61.7951 -423.944 242.356
26 64.8391 -403.184 227.736
27 71.7105 -374.083 203.435
28 83.6015 -339.347 169.132
29 100.615 -302.503 125.349
30 123.062 -266.727 72.7135
31 150.543 -234.843 12.869
32 181.757 -208.19 -53.1527
33 215.032 -186.686 -123.442
34 248.242 -169.454 -195.71
35 279.074 -154.852 -267.41
36 305.007 -141.246 -335.575
37 323.481 -127.251 -397.739
38 332.556 -112.166 -451.486
39 330.573 -96.6289 -495.506
40 316.697 -81.2233 -529.39
41 290.935 -67.3908 -553.501
42 254.087 -55.6133 -568.786
43 207.883 -46.6847 -576.61
44 155.287 -40.2874 -577.728
45 99.6535 -35.6163 -572.278
46 45.302 -31.7534 -559.541
47 -3.7059 -28.0923 -537.565
48 -44.2519 -24.7624 -504.785
49 -74.2969 -22.3028 -460.222
50 -93.5204 -21.4025 -404.557
51 -103.494 -22.7291 -340.677
52 -106.616 -26.2136 -272.687
53 -107.077 -31.5337 -205.196
54 -108.382 -37.2046 -142.486
55 -114.02 -42.0786 -87.4269
56 -126.593 -44.7964 -40.9441
57 -147.212 -44.5324 -2.25524
58 -175.117 -40.6138 30.3657
59 -208.533 -32.5936 59.5785
60 -244.946 -20.7382 87.8588
61 -280.37 -5.98574 117.24
62 -311.521 10.266 148.829
63 -335.697 26.5165 182.983
64 -351.679 41.0104 218.501
65 -359.72 52.1794 252.887
66 -360.568 59.0423 282.802
67 -355.424 61.101 304.303
68 -345.313 58.3568 313.372
69 -330.802 51.1847 307.124
70 -312.026 39.7271 283.992
71 -289.859 23.7038 243.948
72 -265.57 2.57398 189.078
73 -240.787 -24.6655 122.442
74 -217.385 -58.0404 47.4186
75 -197.156 -97.0148 -32.8771
76 -180.976 -140.247 -115.651
77 -168.503 -185.246 -198.853
78 -158.738 -229.018 -280.355
79 -150.075 -268.586 -357.82
80 -141.141 -302.14 -428.81
81 -131.118 -328.209 -490.833
82 -119.527 -346.505 -541.606
83 -106.432 -357.509 -579.811
84 -92.923 -361.888 -604.472
85 -80.1668 -360.294 -616.19
86 -70.0271 -353.487 -616.335
87 -63.6567 -342.358 -607.808
88 -61.7938 -328.237 -593.476
89 -63.6131 -312.867 -576.156
90 -67.2587 -297.507 -558.216
91 -70.3967 -282.994 -541.86
92 -69.4893 -269.627 -527.673
93 -61.9648 -256.702 -515.833
94 -45.0614 -243.169 -505.165
95 -17.4264 -227.686 -493.972
96 21.1073 -208.762 -480.523
97 70.2549 -185.16 -463.57
98 128.094 -156.954 -443.044
99 191.98 -124.955 -419.498
100 259.591 -91.0656 -395.112
101 328.189 -58.0307 -371.954
102 395.442 -28.7243 -352.102
103 459.75 -6.06088 -336.61
104 519.545 7.44246 -325.263
105 573.577 10.8717 -317.117
106 620.414 4.04704 -310.759
107 658.828 -11.54 -304.637
108 687.716 -33.6916 -297.709
109 706.83 -59.9572 -289.333
110 716.436 -87.2019 -279.751
111 717.626 -112.141 -269.908
112 712.171 -131.916 -261.363
113 701.802 -143.61 -255.775
114 687.984 -144.64 -254.745
