stage,scale,case_id,purpose,priority,est_hours,dPsi_V,c_KOH_wt,T_K,size_nm,n_atoms_est,j_Am2,v_ms,theta_deg,mesh_um,closure,status
S-A,MD,MD-000-overhead,Measure fix electrode/conp wall-time overhead vs plain pppm (OI-1). GATES the whole MD matrix.,0,2,0,30,333,5x5x12,~100k,,,,,,pending
S-A,MD,MD-100-bulk,"Bulk KOH validation: density, viscosity (Green-Kubo), D(K+),D(OH-),D(H2) vs experiment. Force field must pass here first.",1,8,n/a,20,298,4x4x4,~8k,,,,,,pending
S-A,MD,MD-101-bulk,"Bulk KOH validation: density, viscosity (Green-Kubo), D(K+),D(OH-),D(H2) vs experiment. Force field must pass here first.",1,8,n/a,30,298,4x4x4,~8k,,,,,,pending
S-A,MD,MD-102-bulk,"Bulk KOH validation: density, viscosity (Green-Kubo), D(K+),D(OH-),D(H2) vs experiment. Force field must pass here first.",1,8,n/a,30,333,4x4x4,~8k,,,,,,pending
S-A,MD,MD-103-bulk,"Bulk KOH validation: density, viscosity (Green-Kubo), D(K+),D(OH-),D(H2) vs experiment. Force field must pass here first.",1,8,n/a,30,353,4x4x4,~8k,,,,,,pending
S-A,MD,MD-200-edl,"Ni|KOH interface equilibration; EDL structure, charge profile, differential capacitance vs dPsi",2,120,0.0,30,333,5x5x12,~25k,,,,,,pending
S-A,MD,MD-201-edl,"Ni|KOH interface equilibration; EDL structure, charge profile, differential capacitance vs dPsi",2,120,0.25,30,333,5x5x12,~25k,,,,,,pending
S-A,MD,MD-202-edl,"Ni|KOH interface equilibration; EDL structure, charge profile, differential capacitance vs dPsi",2,120,0.50,30,333,5x5x12,~25k,,,,,,pending
S-A,MD,MD-203-edl,"Ni|KOH interface equilibration; EDL structure, charge profile, differential capacitance vs dPsi",2,120,1.00,30,333,5x5x12,~25k,,,,,,pending
S-A,MD,MD-3-dPsi0.0-R3,"Contact angle theta(dPsi) on Ni, cylindrical cap, base radius for line-tension extrapolation. PRIMARY - tests P1. | CONCURRENT 1-rank job; all 12 run simultaneously.",3,470,0.0,30,333,R=3nm (25k atoms),~25k,,,,,,pending
S-A,MD,MD-3-dPsi0.0-R5,"Contact angle theta(dPsi) on Ni, cylindrical cap, base radius for line-tension extrapolation. PRIMARY - tests P1. | CONCURRENT 1-rank job; all 12 run simultaneously.",3,470,0.0,30,333,R=5nm (25k atoms),~25k,,,,,,pending
S-A,MD,MD-3-dPsi0.0-R8,"Contact angle theta(dPsi) on Ni, cylindrical cap, base radius for line-tension extrapolation. PRIMARY - tests P1. | CONCURRENT 1-rank job; all 12 run simultaneously.",3,470,0.0,30,333,R=8nm (25k atoms),~25k,,,,,,pending
S-A,MD,MD-3-dPsi0.25-R3,"Contact angle theta(dPsi) on Ni, cylindrical cap, base radius for line-tension extrapolation. PRIMARY - tests P1. | CONCURRENT 1-rank job; all 12 run simultaneously.",3,470,0.25,30,333,R=3nm (25k atoms),~25k,,,,,,pending
S-A,MD,MD-3-dPsi0.25-R5,"Contact angle theta(dPsi) on Ni, cylindrical cap, base radius for line-tension extrapolation. PRIMARY - tests P1. | CONCURRENT 1-rank job; all 12 run simultaneously.",3,470,0.25,30,333,R=5nm (25k atoms),~25k,,,,,,pending
S-A,MD,MD-3-dPsi0.25-R8,"Contact angle theta(dPsi) on Ni, cylindrical cap, base radius for line-tension extrapolation. PRIMARY - tests P1. | CONCURRENT 1-rank job; all 12 run simultaneously.",3,470,0.25,30,333,R=8nm (25k atoms),~25k,,,,,,pending
S-A,MD,MD-3-dPsi0.50-R3,"Contact angle theta(dPsi) on Ni, cylindrical cap, base radius for line-tension extrapolation. PRIMARY - tests P1. | CONCURRENT 1-rank job; all 12 run simultaneously.",3,470,0.50,30,333,R=3nm (25k atoms),~25k,,,,,,pending
S-A,MD,MD-3-dPsi0.50-R5,"Contact angle theta(dPsi) on Ni, cylindrical cap, base radius for line-tension extrapolation. PRIMARY - tests P1. | CONCURRENT 1-rank job; all 12 run simultaneously.",3,470,0.50,30,333,R=5nm (25k atoms),~25k,,,,,,pending
S-A,MD,MD-3-dPsi0.50-R8,"Contact angle theta(dPsi) on Ni, cylindrical cap, base radius for line-tension extrapolation. PRIMARY - tests P1. | CONCURRENT 1-rank job; all 12 run simultaneously.",3,470,0.50,30,333,R=8nm (25k atoms),~25k,,,,,,pending
S-A,MD,MD-3-dPsi1.00-R3,"Contact angle theta(dPsi) on Ni, cylindrical cap, base radius for line-tension extrapolation. PRIMARY - tests P1. | CONCURRENT 1-rank job; all 12 run simultaneously.",3,470,1.00,30,333,R=3nm (25k atoms),~25k,,,,,,pending
S-A,MD,MD-3-dPsi1.00-R5,"Contact angle theta(dPsi) on Ni, cylindrical cap, base radius for line-tension extrapolation. PRIMARY - tests P1. | CONCURRENT 1-rank job; all 12 run simultaneously.",3,470,1.00,30,333,R=5nm (25k atoms),~25k,,,,,,pending
